Date,Volume,Open,High,Low,Close,Median
2022-01-25 22:00:00,307519,4315.43,4455.5,4304.16,4347.87,4379.83
2022-01-26 22:00:00,411274,4347.87,4430.88,4273.05,4353.41,4351.965
2022-01-27 22:00:00,344622,4353.41,4434.99,4275.45,4431.4,4355.22
2022-01-30 22:00:00,201576,4431.4,4516.2,4404.38,4500.4,4460.29
2022-01-31 22:00:00,197395,4500.4,4563.1,4482.82,4558.32,4522.96
2022-02-01 22:00:00,188163,4558.32,4594.44,4544.16,4557.08,4569.3
2022-02-02 22:00:00,204052,4557.08,4557.08,4470.9,4530.91,4513.99
2022-02-03 22:00:00,217324,4530.91,4540.53,4447.275,4493.47,4493.9025
2022-02-06 22:00:00,190609,4493.47,4522.05,4470.68,4491.6,4496.365
2022-02-07 22:00:00,124552,4491.6,4531.4,4464.41,4525.79,4497.905
2022-02-08 22:00:00,79628,4525.79,4592.05,4524.58,4588.39,4558.315
2022-02-09 22:00:00,201443,4588.39,4589.92,4482.64,4501.24,4536.28
2022-02-10 22:00:00,264991,4501.24,4526.69,4399.865,4426.52,4463.2775
2022-02-13 22:00:00,288344,4426.52,4433.39,4360.06,4399.97,4396.725
2022-02-14 22:00:00,144221,4399.97,4472.9,4387.09,4462.38,4429.995
2022-02-15 22:00:00,154179,4462.38,4489.28,4428.12,4470.11,4458.7
2022-02-16 22:00:00,157283,4470.11,4479.08,4371.64,4379.22,4425.36
2022-02-17 22:00:00,150661,4379.22,4415.25,4325.01,4352.33,4370.13
2022-02-20 22:00:00,117910,4352.33,4395.0,4289.33,4293.62,4342.165
2022-02-21 22:00:00,285350,4293.62,4362.54,4254.26,4316.11,4308.4
2022-02-22 22:00:00,181124,4316.11,4349.62,4216.56,4219.31,4283.09
2022-02-23 22:00:00,449875,4219.31,4293.8,4105.55,4272.87,4199.675
2022-02-24 22:00:00,278166,4272.87,4387.78,4231.79,4384.03,4309.785
2022-02-27 22:00:00,273999,4384.03,4388.05,4255.785,4373.22,4321.9175
